iter	QueryRMSE
0	0.2236036323
1	0.2236008172
2	0.2235981307
3	0.2235957879
4	0.223593107
5	0.2235903908
6	0.2235879597
7	0.2235855527
8	0.2235852138
9	0.2235830283
10	0.2235806005
11	0.2235780528
12	0.2235757194
13	0.2235734133
14	0.2235711488
15	0.223568782
16	0.2235664031
17	0.223564348
18	0.2235634688
19	0.2235613182
20	0.2235589253
21	0.2235567156
22	0.2235546254
23	0.223552683
24	0.223550378
25	0.2235483434
26	0.2235461252
27	0.2235442113
28	0.223542186
29	0.223540302
30	0.2235382716
31	0.2235359159
32	0.2235359159
33	0.2235341054
34	0.2235341054
35	0.2235320434
36	0.2235298876
37	0.2235281301
38	0.2235264197
39	0.2235243937
40	0.2235230149
41	0.223520954
42	0.223518894
43	0.223517005
44	0.2235152523
45	0.2235133581
46	0.2235116605
47	0.2235099429
48	0.2235081209
49	0.2235064009
50	0.2235045235
51	0.2235030243
52	0.223501311
53	0.2234993893
54	0.2234976715
55	0.2234962445
56	0.2234951138
57	0.2234934309
58	0.2234917256
59	0.2234900283
60	0.2234883089
61	0.2234869713
62	0.2234852561
63	0.2234835855
64	0.2234820619
65	0.2234806069
66	0.2234789398
67	0.2234772894
68	0.223476123
69	0.2234760182
70	0.2234743553
71	0.2234728438
72	0.2234716698
73	0.2234701493
74	0.2234684102
75	0.2234668484
76	0.2234654492
77	0.2234639489
78	0.2234625782
79	0.2234611552
80	0.2234596321
81	0.2234582182
82	0.223456923
83	0.2234556551
84	0.223454332
85	0.2234530715
86	0.2234516591
87	0.2234502505
88	0.2234487938
89	0.2234481058
90	0.2234466207
91	0.2234452254
92	0.2234450999
93	0.2234438689
94	0.2234427629
95	0.2234415472
96	0.2234400363
97	0.2234388196
98	0.2234374638
99	0.2234363425
100	0.2234357969
101	0.2234344531
102	0.223433136
103	0.2234318597
104	0.2234305775
105	0.2234293527
106	0.2234281896
107	0.223426972
108	0.2234257459
109	0.223424431
110	0.2234232435
111	0.2234224308
112	0.2234213862
113	0.2234213862
114	0.2234201145
115	0.2234190346
116	0.2234178857
117	0.22341691
118	0.2234157765
119	0.2234148866
120	0.2234138846
121	0.2234127837
122	0.2234116099
123	0.2234104656
124	0.2234091404
125	0.2234081299
126	0.2234073072
127	0.2234065774
128	0.2234055645
129	0.2234045031
130	0.2234034734
131	0.2234023035
132	0.22340128
133	0.2234002808
134	0.2234001582
135	0.2233992862
136	0.2233981046
137	0.223397972
138	0.2233970018
139	0.2233959695
140	0.223395026
141	0.2233941426
142	0.2233932305
143	0.2233923074
144	0.2233916902
145	0.2233906429
146	0.2233897938
147	0.2233885772
148	0.223387739
149	0.2233867924
150	0.2233858262
151	0.2233852582
152	0.2233842657
153	0.2233836063
154	0.2233826732
155	0.2233816406
156	0.2233814351
157	0.2233804112
158	0.2233795147
159	0.2233785966
160	0.2233777577
161	0.2233770494
162	0.2233761203
163	0.2233751697
164	0.2233741555
165	0.223373258
166	0.2233728131
167	0.223371826
168	0.2233708699
169	0.2233701319
170	0.2233694399
171	0.2233692853
172	0.2233685498
173	0.223367632
174	0.2233668084
175	0.2233659454
176	0.2233651413
177	0.2233644255
178	0.2233635177
179	0.2233626921
180	0.2233625763
181	0.2233617524
182	0.2233609698
183	0.2233600068
184	0.2233589943
185	0.2233583157
186	0.2233575132
187	0.2233567788
188	0.2233564443
189	0.223355479
190	0.2233546187
191	0.2233538305
192	0.2233528515
193	0.2233522156
194	0.2233513519
195	0.2233505055
196	0.2233498055
197	0.2233491658
198	0.2233482923
199	0.2233472781
200	0.2233466362
201	0.2233457813
202	0.2233449989
203	0.2233442782
204	0.2233436105
205	0.2233428234
206	0.2233419625
207	0.2233413504
208	0.223340675
209	0.2233405953
210	0.2233398296
211	0.2233390843
212	0.2233385038
213	0.2233377677
214	0.2233369676
215	0.223336311
216	0.2233355194
217	0.2233347679
218	0.2233340764
219	0.2233333383
220	0.2233327053
221	0.2233320141
222	0.2233317722
223	0.2233310887
224	0.2233309076
225	0.2233302697
226	0.2233297361
227	0.2233289864
228	0.2233282987
229	0.223327658
230	0.2233271798
231	0.2233264899
232	0.2233257911
233	0.2233250697
234	0.2233243746
235	0.2233237117
236	0.2233231935
237	0.2233225033
238	0.2233216085
239	0.2233211174
240	0.2233202889
241	0.223319613
242	0.2233190722
243	0.2233182758
244	0.2233177563
