iter	Passed	Remaining
0	468	937241
1	869	869003
2	1245	829383
3	1603	800070
4	1955	780162
5	2312	768393
6	2679	762780
7	3023	752895
8	3299	729857
9	3662	728877
10	4049	732138
11	4465	739738
12	4853	741900
13	5241	743475
14	5651	747913
15	6029	747674
16	6413	748110
17	6803	749116
18	7088	739063
19	7458	738346
20	7833	738255
21	8207	737954
22	8602	739465
23	8993	740502
24	9357	739274
25	9721	738089
26	10092	737506
27	10459	736616
28	10808	734622
29	11149	732124
30	11495	730150
31	11841	728235
32	12089	720634
33	12439	719323
34	12683	712071
35	13037	711263
36	13390	710423
37	13735	709196
38	14153	711669
39	14535	712256
40	14902	712037
41	15267	711765
42	15673	713319
43	16049	713463
44	16413	713079
45	16810	714096
46	17176	713745
47	17549	713689
48	17919	713504
49	18292	713388
50	18666	713366
51	19070	714399
52	19434	713943
53	19800	713543
54	20155	712788
55	20509	711984
56	20854	710878
57	21206	710045
58	21578	709891
59	22024	712116
60	22444	713447
61	22805	712856
62	23156	711974
63	23506	711082
64	23853	710093
65	24218	709687
66	24589	709429
67	24965	709319
68	25328	708818
69	25609	706095
70	25970	705592
71	26346	705488
72	26713	705166
73	27090	705090
74	27445	704438
75	27812	704087
76	28178	703725
77	28544	703362
78	28949	703954
79	29314	703554
80	29672	702980
81	30025	702311
82	30381	701712
83	30732	700984
84	31068	699966
85	31413	699127
86	31760	698376
87	32114	697753
88	32461	697008
89	32780	695679
90	33129	694984
91	33473	694201
92	33736	691778
93	34139	692226
94	34522	692265
95	34893	692046
96	35255	691654
97	35618	691284
98	36002	691326
99	36360	690856
100	36664	689364
101	37048	689399
102	37405	688906
103	37785	688864
104	38177	689008
105	38556	688928
106	38936	688857
107	39300	688482
108	39652	687915
109	40007	687404
110	40350	686684
111	40695	686016
112	41047	685450
113	41293	683157
114	41648	682678
115	42012	682342
116	42355	681665
117	42710	681191
118	43069	680782
119	43421	680263
120	43769	679693
121	44137	679428
122	44507	679186
123	44894	679216
124	45267	679011
125	45625	678589
126	46016	678646
127	46383	678354
128	46749	678053
129	47121	677825
130	47486	677501
131	47855	677232
132	48245	677250
133	48597	676735
134	48892	675435
135	49249	675014
136	49599	674481
137	49856	672706
138	50215	672305
139	50575	671935
140	50919	671338
141	51266	670801
142	51606	670158
143	51954	669639
144	52274	668757
145	52628	668305
146	52986	667923
147	53339	667462
148	53713	667279
149	54140	667734
150	54497	667318
151	54830	666618
152	55200	666380
153	55522	665552
154	55900	665390
155	56284	665311
156	56576	664147
157	56956	664012
158	57327	663774
159	57697	663516
160	58066	663251
161	58433	662969
162	58810	662790
163	59187	662607
164	59535	662108
165	59891	661694
166	60209	660862
167	60572	660526
168	60935	660193
169	61279	659654
170	61625	659142
171	61886	657721
172	62238	657276
173	62586	656800
174	62939	656369
175	63294	655961
176	63631	655369
177	63981	654910
178	64341	654558
179	64709	654283
180	64986	653100
181	65347	652756
182	65709	652428
183	66091	652297
184	66460	652033
185	66821	651691
186	67186	651384
187	67555	651124
188	67857	650209
189	68221	649898
190	68585	649586
191	68987	649629
192	69339	649200
193	69691	648777
194	70044	648359
195	70393	647911
196	70764	647652
197	71119	647261
198	71473	646857
199	71849	646644
200	72202	646227
201	72570	645947
202	72923	645534
203	73290	645241
204	73656	644947
205	74037	644770
206	74421	644628
207	74787	644325
208	75156	644045
209	75426	642923
210	75792	642623
211	76156	642302
212	76528	642048
213	76896	641760
214	77261	641448
215	77641	641258
216	78009	640968
217	78374	640655
218	78756	640482
219	79126	640208
220	79466	639688
221	79810	639205
222	80101	638297
223	80452	637869
224	80734	636906
225	81087	636501
226	81427	635994
227	81788	635654
228	82137	635218
229	82482	634760
230	82830	634315
231	83178	633877
232	83518	633375
233	83880	633043
234	84260	632849
235	84615	632468
236	84979	632147
237	85347	631859
238	85713	631554
239	86053	631057
240	86452	630999
241	86817	630684
242	87175	630321
243	87553	630098
244	87951	630017
