iter	RMSE
0	0.2236031887
1	0.2236007028
2	0.223598097
3	0.2235954358
4	0.2235928381
5	0.2235901821
6	0.2235877696
7	0.2235850249
8	0.2235837303
9	0.2235814028
10	0.2235789302
11	0.2235764715
12	0.2235742001
13	0.223571743
14	0.2235697532
15	0.2235676572
16	0.2235651716
17	0.2235628161
18	0.2235619165
19	0.2235597338
20	0.223557392
21	0.2235549786
22	0.2235526695
23	0.2235503421
24	0.2235482631
25	0.223546
26	0.2235438177
27	0.2235415729
28	0.2235393159
29	0.2235372225
30	0.2235351015
31	0.2235331545
32	0.2235331545
33	0.2235310674
34	0.2235310674
35	0.2235291315
36	0.2235272185
37	0.2235252325
38	0.2235235799
39	0.2235218975
40	0.2235204705
41	0.2235187826
42	0.2235169367
43	0.2235151012
44	0.22351379
45	0.2235119838
46	0.2235100364
47	0.223508201
48	0.2235065587
49	0.2235048081
50	0.2235030132
51	0.2235013578
52	0.2234997163
53	0.223497966
54	0.2234961974
55	0.2234943731
56	0.2234927826
57	0.2234911649
58	0.2234894094
59	0.2234877636
60	0.2234862
61	0.2234847564
62	0.2234831754
63	0.2234816687
64	0.223480098
65	0.223478623
66	0.2234771368
67	0.2234757219
68	0.223474326
69	0.2234741559
70	0.2234728239
71	0.223471347
72	0.2234698389
73	0.2234683963
74	0.2234670354
75	0.2234656735
76	0.2234643806
77	0.2234628901
78	0.2234612803
79	0.2234600053
80	0.2234586506
81	0.2234571069
82	0.2234557019
83	0.2234546326
84	0.2234532853
85	0.2234521946
86	0.2234506506
87	0.2234491844
88	0.223448006
89	0.2234471373
90	0.2234458654
91	0.2234447492
92	0.2234444507
93	0.2234431929
94	0.2234419351
95	0.2234405974
96	0.2234392991
97	0.2234380415
98	0.2234366664
99	0.223435742
100	0.223435176
101	0.2234338447
102	0.2234325655
103	0.2234315018
104	0.2234303019
105	0.2234291085
106	0.2234281864
107	0.2234267785
108	0.2234255971
109	0.2234242575
110	0.2234230384
111	0.2234220553
112	0.2234208727
113	0.2234208727
114	0.2234196098
115	0.2234185336
116	0.2234175597
117	0.2234164004
118	0.2234152099
119	0.2234140643
120	0.2234129528
121	0.2234119175
122	0.2234109057
123	0.2234098316
124	0.2234085488
125	0.2234075509
126	0.2234065715
127	0.2234057793
128	0.2234047415
129	0.2234038935
130	0.2234028363
131	0.2234015785
132	0.2234005203
133	0.2233995339
134	0.2233993991
135	0.2233985407
136	0.2233975096
137	0.2233973203
138	0.2233962631
139	0.2233954506
140	0.2233942964
141	0.2233932543
142	0.2233923501
143	0.2233913039
144	0.2233907111
145	0.2233896708
146	0.2233886496
147	0.2233876099
148	0.2233867797
149	0.223385813
150	0.2233848998
151	0.2233843881
152	0.2233834407
153	0.2233827771
154	0.2233817475
155	0.2233807635
156	0.2233805199
157	0.2233796645
158	0.223378889
159	0.2233778143
160	0.2233769578
161	0.2233761326
162	0.2233751261
163	0.2233741807
164	0.2233731718
165	0.2233723968
166	0.2233718073
167	0.2233710166
168	0.2233700689
169	0.2233693229
170	0.2233684829
171	0.2233684241
172	0.2233675419
173	0.2233665829
174	0.2233656719
175	0.2233646095
176	0.2233636495
177	0.2233629907
178	0.2233621506
179	0.2233612765
180	0.223361161
181	0.2233602947
182	0.223359495
183	0.2233586918
184	0.223357965
185	0.2233571803
186	0.2233562499
187	0.2233554913
188	0.2233551229
189	0.223354445
190	0.2233535817
191	0.2233528437
192	0.2233520203
193	0.2233513836
194	0.2233507375
195	0.2233498884
196	0.2233489407
197	0.2233483103
198	0.2233475005
199	0.223346632
200	0.22334583
201	0.2233450302
202	0.2233442647
203	0.2233436109
204	0.2233428183
205	0.2233420831
206	0.2233414712
207	0.2233407777
208	0.2233401606
209	0.223340069
210	0.2233393157
211	0.223338531
212	0.2233378372
213	0.2233370093
214	0.2233363772
215	0.2233356407
216	0.2233348602
217	0.2233341944
218	0.2233334378
219	0.2233326287
220	0.2233319012
221	0.2233311772
