iter	Passed	Remaining
0	399	798974
1	910	909305
2	1339	891373
3	1720	858695
4	2179	869699
5	2516	836352
6	2847	810785
7	3216	800913
8	3466	766857
9	3782	752631
10	4123	745646
11	4453	737803
12	4782	730977
13	5081	720895
14	5409	715890
15	5712	708288
16	6024	702767
17	6323	696265
18	6552	683169
19	6858	678978
20	7228	681214
21	7567	680362
22	7880	677391
23	8200	675153
24	8527	673708
25	8841	671248
26	9165	669773
27	9488	668232
28	9823	667676
29	10138	665736
30	10458	664275
31	10777	662834
32	10972	654029
33	11285	652577
34	11482	644637
35	11797	643596
36	12134	643796
37	12464	643549
38	12771	642160
39	13077	640803
40	13356	638161
41	13682	637871
42	13981	636327
43	14275	634588
44	14569	632966
45	14855	631028
46	15142	629235
47	15430	627489
48	15738	626667
49	16044	625722
50	16342	624541
51	16650	623757
52	16948	622606
53	17251	621675
54	17584	621848
55	17930	622443
56	18258	622378
57	18576	621994
58	18897	621706
59	19220	621454
60	19537	621051
61	19859	620777
62	20175	620313
63	20499	620108
64	20817	619735
65	21140	619476
66	21466	619317
67	21800	619383
68	22111	618810
69	22333	615779
70	22683	616280
71	22969	615077
72	23265	614148
73	23566	613354
74	23853	612252
75	24146	611299
76	24449	610597
77	24742	609681
78	25052	609188
79	25344	608260
80	25680	608399
81	25971	607481
82	26261	606538
83	26556	605744
84	26858	605115
85	27147	604199
86	27438	603340
87	27766	603292
88	28079	602930
89	28365	601973
90	28685	601766
91	29005	601550
92	29218	599130
93	29539	598967
94	29867	598923
95	30186	598689
96	30524	598841
97	30850	598748
98	31197	599050
99	31520	598888
100	31797	597855
101	32112	597553
102	32438	597432
103	32772	597471
104	33106	597495
105	33397	596737
106	33691	596047
107	33993	595519
108	34288	594854
109	34576	594089
110	34866	593351
111	35153	592595
112	35451	592009
113	35640	589638
114	35958	589403
115	36262	588960
116	36555	588329
117	36847	587681
118	37137	587029
119	37448	586696
120	37752	586261
121	38070	586032
122	38390	585849
123	38710	585649
124	39046	585699
125	39356	585354
126	39657	584869
127	39996	584953
128	40311	584676
129	40622	584337
130	40950	584247
131	41299	584457
132	41671	584968
133	42028	585258
134	42254	583734
135	42559	583311
136	42867	582934
137	43091	581425
138	43404	581122
139	43710	580725
140	44008	580230
141	44299	579638
142	44593	579095
143	44884	578507
144	45146	577559
145	45443	577073
146	45758	576806
147	46058	576357
148	46355	575869
149	46652	575379
150	46942	574806
151	47198	573835
152	47488	573273
153	47747	572348
154	48045	571900
155	48380	571883
156	48615	570694
157	48946	570632
158	49273	570514
159	49602	570423
160	49926	570272
161	50252	570152
162	50573	569958
163	50888	569702
164	51216	569587
165	51608	570178
166	51880	569438
167	52199	569223
168	52510	568915
169	52819	568587
170	53139	568371
171	53361	567116
172	53679	566890
173	53982	566504
174	54274	566004
175	54569	565542
176	54857	565002
177	55133	564339
178	55415	563748
179	55712	563315
180	55918	561963
181	56205	561440
182	56508	561072
183	56807	560664
184	57104	560238
185	57389	559698
186	57683	559254
187	57974	558776
188	58220	557869
189	58540	557674
190	58864	557514
191	59180	557285
192	59504	557122
193	59812	556809
194	60122	556516
195	60433	556233
196	60746	555966
197	61068	555785
198	61381	555519
199	61707	555370
200	62008	554994
201	62322	554732
202	62646	554557
203	62977	554447
204	63283	554113
205	63601	553890
206	63915	553628
207	64204	553146
208	64506	552781
209	64711	551588
210	65006	551171
211	65296	550709
212	65589	550275
213	65884	549857
214	66180	549454
215	66475	549034
216	66761	548549
217	67046	548062
218	67363	547824
219	67651	547361
220	67938	546890
221	68233	546481
