iter	PairLogit:max_pairs=100000
0	0.6931353271
1	0.6931243194
2	0.693112774
3	0.6931109225
4	0.6930983815
5	0.6930873768
6	0.693074623
7	0.6930608323
8	0.6930515846
9	0.6930400113
10	0.6930257233
11	0.6930165703
12	0.6930043103
13	0.6929902064
14	0.69298047
15	0.6929741015
16	0.6929635627
17	0.6929551744
18	0.6929447541
19	0.6929424462
20	0.6929321028
21	0.6929218505
22	0.6929124787
23	0.692899057
24	0.6928925555
25	0.692880926
26	0.6928745732
27	0.6928653198
28	0.6928547283
29	0.6928466769
30	0.6928361345
31	0.6928320223
32	0.6928207636
33	0.69281159
34	0.6928015002
35	0.6927915508
36	0.6927824644
37	0.6927712117
38	0.6927629465
39	0.6927544061
40	0.6927446717
41	0.6927350054
42	0.6927268087
43	0.6927189716
44	0.6927088403
45	0.692699986
46	0.6926909088
47	0.6926821752
48	0.6926739708
49	0.6926668567
50	0.6926566424
51	0.6926473506
52	0.6926385033
53	0.6926281568
54	0.6926196902
55	0.6926181346
56	0.692610038
57	0.6926012239
58	0.692597254
59	0.6925881208
60	0.6925811303
61	0.6925720351
62	0.6925672293
63	0.6925579534
64	0.6925524467
65	0.6925444412
66	0.6925367395
67	0.6925358677
68	0.692527349
69	0.6925191976
70	0.6925107497
71	0.6925067082
72	0.6925039234
73	0.6925039234
74	0.692495433
75	0.6924942549
76	0.6924880513
77	0.6924796776
78	0.6924705479
79	0.692463917
80	0.6924613567
81	0.6924550686
82	0.6924502153
83	0.6924476654
84	0.6924424815
85	0.6924361788
86	0.692427907
87	0.6924214307
88	0.6924155525
89	0.6924073556
90	0.6924005705
91	0.6923975585
92	0.6923917436
93	0.6923864691
94	0.6923798725
95	0.6923728395
96	0.6923679027
97	0.6923600896
