iter	Passed	Remaining
0	31557	6279975
1	58845	5825694
2	87009	5713620
3	112324	5503916
4	140102	5464000
5	167422	5413322
6	195127	5379933
7	222818	5347636
8	250188	5309563
9	277677	5275871
10	305877	5255536
11	333026	5217407
12	359603	5172755
13	386602	5136292
14	413306	5097448
15	438709	5045155
16	465260	5008387
17	491678	4971419
18	518337	4937851
19	543020	4887186
20	570300	4861130
21	596973	4830055
22	624379	4805010
23	650925	4773456
24	677518	4742631
25	704213	4712814
26	729942	4677039
27	756665	4648089
28	783457	4619696
29	811044	4595918
30	837812	4567431
31	862522	4528245
32	889046	4499116
33	915454	4469570
34	942146	4441545
35	969008	4414373
36	995773	4386786
37	1022235	4357953
38	1049340	4331891
39	1076066	4304264
40	1102803	4276727
41	1129667	4249700
42	1156094	4221089
43	1182770	4193459
44	1209314	4165417
45	1236111	4138287
46	1262861	4111017
47	1289533	4083523
48	1316169	4055951
49	1343130	4029391
50	1369752	4001825
51	1396336	3974187
52	1423168	3947279
53	1450014	3920408
54	1476691	3893096
55	1501331	3860565
56	1528036	3833496
57	1554424	3805659
58	1580502	3777132
59	1607817	3751575
60	1635108	3725902
61	1661892	3699051
62	1687577	3669810
63	1714601	3643529
64	1741056	3616040
65	1767751	3589071
66	1794594	3562403
67	1819343	3531667
68	1845982	3504690
69	1872778	3478017
70	1900178	3452436
71	1926899	3425598
72	1953007	3397697
73	1976696	3365725
74	2003225	3338708
75	2028303	3309337
76	2054712	3282202
77	2081422	3255557
78	2108013	3228729
79	2135246	3202870
80	2161693	3175820
81	2188578	3149417
82	2215132	3122536
83	2240802	3094441
84	2267477	3067763
85	2294778	3041915
86	2321616	3015432
87	2348150	2988555
88	2375446	2962635
89	2401864	2935612
90	2428571	2908948
91	2455084	2882055
92	2482349	2856036
93	2508965	2829258
94	2535524	2802421
95	2562145	2775657
96	2588723	2748850
97	2615306	2722053
